om_id,plant_id,stp_name,division,om_entry_raw,om_full_text_raw,om_disclosure_status,anomaly_remarks_raw
stp_01_om_01,stp_01,Yamuna Vihar Ph-I,EE(SDW)-III,Not disclosed,Not disclosed,Data withheld,Severely underutilised. Only 22% capacity used.
stp_02_om_01,stp_02,Yamuna Vihar Ph-II,EE(SDW)-III,Not disclosed,Not disclosed,Data withheld,Upgraded capacity. Severely underutilised. Only 22% capacity used.
stp_03_om_01,stp_03,Sonia Vihar WWTP,EE(SDW)-III,Not disclosed,Not disclosed,Data withheld,Brand new plant. Severely underutilised. Only 1.6% capacity used despite full capital expenditure.
stp_04_om_01,stp_04,Yamuna Vihar (25 MGD),EE(SDW)-XIII,FY22: 4.92 Cr,FY22: 4.92 Cr | FY23: 4.83 Cr | FY24: 4.86 Cr | FY25: 5.1 Cr | FY26: 2.7 Cr,Full disclosure,"OVERLOADED. Dual-zone conflict: SE-I reports 25 MGD (100%), EE-XIII reports 28-29 MGD actual flow. No CPCB/NGT penalty yet."
stp_04_om_02,stp_04,Yamuna Vihar (25 MGD),EE(SDW)-XIII,FY23: 4.83 Cr,FY22: 4.92 Cr | FY23: 4.83 Cr | FY24: 4.86 Cr | FY25: 5.1 Cr | FY26: 2.7 Cr,Full disclosure,"OVERLOADED. Dual-zone conflict: SE-I reports 25 MGD (100%), EE-XIII reports 28-29 MGD actual flow. No CPCB/NGT penalty yet."
stp_04_om_03,stp_04,Yamuna Vihar (25 MGD),EE(SDW)-XIII,FY24: 4.86 Cr,FY22: 4.92 Cr | FY23: 4.83 Cr | FY24: 4.86 Cr | FY25: 5.1 Cr | FY26: 2.7 Cr,Full disclosure,"OVERLOADED. Dual-zone conflict: SE-I reports 25 MGD (100%), EE-XIII reports 28-29 MGD actual flow. No CPCB/NGT penalty yet."
stp_04_om_04,stp_04,Yamuna Vihar (25 MGD),EE(SDW)-XIII,FY25: 5.1 Cr,FY22: 4.92 Cr | FY23: 4.83 Cr | FY24: 4.86 Cr | FY25: 5.1 Cr | FY26: 2.7 Cr,Full disclosure,"OVERLOADED. Dual-zone conflict: SE-I reports 25 MGD (100%), EE-XIII reports 28-29 MGD actual flow. No CPCB/NGT penalty yet."
stp_04_om_05,stp_04,Yamuna Vihar (25 MGD),EE(SDW)-XIII,FY26: 2.7 Cr,FY22: 4.92 Cr | FY23: 4.83 Cr | FY24: 4.86 Cr | FY25: 5.1 Cr | FY26: 2.7 Cr,Full disclosure,"OVERLOADED. Dual-zone conflict: SE-I reports 25 MGD (100%), EE-XIII reports 28-29 MGD actual flow. No CPCB/NGT penalty yet."
stp_05_om_01,stp_05,Kondli Ph-I,EE(SDW)-IV,Voluminous — visit office,Voluminous — visit office,Data withheld,100% utilised per division claim. Granular data withheld.
stp_06_om_01,stp_06,Kondli Ph-II,EE(SDW)-IV,Voluminous — visit office,Voluminous — visit office,Data withheld,100% utilised per division claim. Granular data withheld.
stp_07_om_01,stp_07,Kondli Ph-III,EE(SDW)-IV,Voluminous — visit office,Voluminous — visit office,Data withheld,100% utilised per division claim. Granular data withheld.
stp_08_om_01,stp_08,Kondli Ph-IV,EE(SDW)-IV,Voluminous — visit office,Voluminous — visit office,Data withheld,100% utilised per division claim. Granular data withheld. RTI obligation not fully met.
stp_09_om_01,stp_09,Chilla STP,EE(SDW)-IV,Voluminous — visit office,Voluminous — visit office,Data withheld,100% utilised per division claim. Granular data withheld.
stp_10_om_01,stp_10,CWG Village Akshardham,EE(SDW)-XIV,FY21-26: Rs 83.76 L/yr each year (flat — zero variation; DDA deposit work),FY21-26: Rs 83.76 L/yr each year (flat — zero variation; DDA deposit work),Partial disclosure,DDA deposit work — not DJB-owned. Budget by DDA. Flat O&M across 5 years is suspicious. 75% capacity idle. Meets CPCB/DPCC/NGT norms per RTI.
stp_11_om_01,stp_11,Okhla 124 MGD,EE(SDW)-II (Okhla),Voluminous — visit office,Voluminous — visit office,Data withheld,"Brand new plant running at only 81%. 24 MGD idle. Parallels Sonia Vihar — massive capital deployed, underutilised from day one."
stp_12_om_01,stp_12,Okhla 30 MGD,EE(SDW)-II (Okhla),Voluminous — visit office,Voluminous — visit office,Data withheld,17 MGD idle. Over 50% unused at established STP.
stp_13_om_01,stp_13,Okhla 16 MGD,EE(SDW)-II (Okhla),Voluminous — visit office,Voluminous — visit office,Data withheld,9 MGD idle. Over 50% unused.
stp_14_om_01,stp_14,Delhi Gate Ph-II,EE(SDW)-V,~Rs 30 L/month,~Rs 30 L/month,Full disclosure,Full capacity. No discrepancy. No CPCB/NGT penalty.
stp_15_om_01,stp_15,Delhi Gate Ph-I,EE(SDW)-V,Maintained by PPCL (third-party),Maintained by PPCL (third-party),Partial disclosure,Full capacity. Operated by PPCL. No CPCB/NGT penalty.
stp_16_om_01,stp_16,SNH,EE(SDW)-V,Maintained by PPCL (third-party),Maintained by PPCL (third-party),Partial disclosure,Full capacity. Operated by PPCL. No CPCB/NGT penalty.
stp_17_om_01,stp_17,Ghitorani,EE(SDW)-V,~Rs 5.50 L/month,~Rs 5.50 L/month,Full disclosure,2 MGD idle. Moderately underutilised. No CPCB/NGT penalty.
stp_18_om_01,stp_18,Vasant Kunj Ph-I,EE(SDW)-V,~Rs 2.95 L/month,~Rs 2.95 L/month,Full disclosure,0.45 MGD spare. Oldest STP in dataset. No CPCB/NGT penalty.
stp_19_om_01,stp_19,Vasant Kunj Ph-II,EE(SDW)-V,~Rs 1.70 L/month,~Rs 1.70 L/month,Full disclosure,0.9 MGD spare. Moderately underutilised. No CPCB/NGT penalty.
