flag_id,source_docx,source_table,source_row,flag,division_stp,issue,implication
flag_01,STP_Analysis_Final (2) (1).docx,Governance Flags,2,OVERLOADED,EE(SDW)-XIII / Yamuna Vihar 25 MGD,28-29 MGD flow vs 25 MGD installed (112-116%). Dual-zone reporting conflict.,Sewage bypassing treatment. Data manipulation risk between zones.
flag_02,STP_Analysis_Final (2) (1).docx,Governance Flags,3,SEVERE UNDERUSE,EE(SDW)-III / Sonia Vihar WWTP,Rs 55.70 Cr plant (2024) running at only 1.6% capacity.,Capital already sunk; sewage still untreated elsewhere while new plant sits idle.
flag_03,STP_Analysis_Final (2) (1).docx,Governance Flags,4,SUSPECT O&M,EE(SDW)-XIV / CWG Akshardham,Identical O&M: Rs 83.76 L every year FY21-FY26. Zero variation across 5 years.,"Flat figures across 5 years without any variation suggest figures may be copied, not actual."
flag_04,STP_Analysis_Final (2) (1).docx,Governance Flags,5,DATA WITHHELD,EE(SDW)-IV / Kondli (all 5 STPs),"Detailed O&M, capital cost, commissioning data declared 'bulky'; applicant directed to visit office.",114 MGD of capacity unverifiable. RTI obligation not met.
flag_05,STP_Analysis_Final (2) (1).docx,Governance Flags,6,DDA OWNERSHIP,EE(SDW)-XIV / CWG Akshardham,STP is DDA deposit work; DJB merely operates. Budget allocated by DDA.,Accountability split between DDA and DJB. Reforms or upgrades require DDA approval.
flag_06,STP_Analysis_Final (2) (1).docx,Governance Flags,7,NEW PLANT UNDERPERFORMING,EE(SDW)-II / Okhla 124 MGD,"Rs 1168 Cr plant (15% Delhi + 85% Centre) commissioned 2025, running at only 81%.","Same pattern as Sonia Vihar: massive capital spent, plant underutilised from day one. 24 MGD idle."
flag_07,STP_Analysis_Final (2) (1).docx,Governance Flags,8,O&M SPIKE,EE(SDW)-XI / Mehrauli STP,O&M jumped from Rs 29.99 L (FY22) to Rs 131.19 L (FY23) — a 4x spike — then dropped to Rs 79.95 L and Rs 58.70 L. No explanation in RTI.,"Unexplained expenditure spike warrants audit. No CPCB/NGT penalty, but financial irregularity possible."
flag_08,STP_Analysis_Final (2) (1).docx,Governance Flags,9,THIRD-PARTY OPERATOR,EE(SDW)-V / Delhi Gate Ph-I & SNH,"Both STPs maintained by PPCL, not DJB directly.",Accountability and performance monitoring rests with contractor. DJB oversight critical.
flag_09,STP_Analysis_Final (2) (1).docx,Governance Flags,10,OKHLA IDLE CAPACITY,EE(SDW)-II / Okhla 30 & 16 MGD,Okhla 30 MGD at 43%; Okhla 16 MGD at 44%. Both over 50% idle. O&M data withheld as voluminous.,Combined 26 MGD unused at established STPs. Financial waste compounded by withheld O&M data.
flag_10,STP_Analysis_Final (2) (1).docx,Governance Flags,11,O&M SPIKE — CRITICAL,EE(SDW)-XII / Rohini STP,"O&M FY24 = Rs 7035 L (Rs 70.35 Cr) vs FY22 = Rs 264.42 L. A 27x spike in one year, then dropped to Rs 1385 L in FY25.",Largest single-year O&M figure in dataset by far. Demands audit. No explanation in RTI. Budget utilisation only 62.5% overall despite the spike.
flag_11,STP_Analysis_Final (2) (1).docx,Governance Flags,12,DUAL-ZONE CONFLICT,EE(SDW)-XII & EE(SDW)-IX / Rithala STP,EE-XII claims Rithala STP (40 MGD) at 100%. EE-IX claims Rithala Ph-I (40 MGD) at 40.69 MGD (101.7%). Two divisions claiming same plant.,Same pattern as Yamuna Vihar dual-zone conflict. Installed capacity effectively counted twice in aggregate. Real utilisation figure unclear.
flag_12,STP_Analysis_Final (2) (1).docx,Governance Flags,13,PLANT UNDER REHABILITATION,EE(SDW)-IX / Rithala Ph-I,O&M declared NIL for last 5 years — plant under rehabilitation. Yet utilisation reported at 40.69 MGD (101.7% overloaded).,Overloaded plant with zero O&M spend for 5 years. Structural/operational integrity risk. Sewage being treated with no maintenance budget.
flag_13,STP_Analysis_Final (2) (1).docx,Governance Flags,14,POST-UPGRADE UNDERUSE,EE(SDW)-VI / Keshopur Ph-III,Capacity upgraded from 40 to 60 MGD (added 20 MGD). Actual utilisation only 32.17 MGD — 53.6% of new capacity.,Upgrade investment wasted. 27.83 MGD idle post-expansion. No capital cost disclosed for the upgrade.
flag_14,STP_Analysis_Final (2) (1).docx,Governance Flags,15,OVERLOADED ×4,Keshopur Ph-I / Nilothi-II / Yamuna Vihar / Coronation 20 MGD,"4 additional plants now confirmed overloaded: Keshopur Ph-I (107%), Nilothi-II (102.5%), Coronation 20 MGD (112.5%), plus existing Yamuna Vihar XIII (114%) and Rithala Ph-I (101.7%).","Total 6 plants overloaded across dataset. Untreated sewage overflow systematic, not isolated."
